src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
144.93.121.48:54116,<->,144.93.120.177:50626,100,20400,0,0,100,20400,0.017883000,1.9800
144.93.121.48:40552,<->,144.93.120.177:18394,100,20400,0,0,100,20400,0.017846000,1.9800
144.93.120.177:63310,<->,144.93.121.48:25560,0,0,100,20400,100,20400,0.017828000,1.9800
144.93.120.28:38464,<->,144.93.121.86:11732,0,0,100,20400,100,20400,0.017797000,1.9800
144.93.120.177:45368,<->,144.93.121.86:9842,0,0,100,20400,100,20400,0.017778000,1.9800
144.93.121.48:27732,<->,144.93.120.177:22568,100,20400,0,0,100,20400,0.017732000,1.9800
144.93.121.86:62616,<->,144.93.120.177:24308,100,20400,0,0,100,20400,0.017730000,1.9800
144.93.121.48:50236,<->,144.93.120.177:18508,100,20400,0,0,100,20400,0.017539000,1.9800
144.93.125.38:28464,<->,144.93.121.86:6170,0,0,100,20400,100,20400,0.017301000,1.9800
144.93.125.48:58580,<->,144.93.121.86:28190,0,0,100,20400,100,20400,0.017249000,1.9800
144.93.121.86:32704,<->,144.93.120.177:17664,100,20400,0,0,100,20400,0.017083000,1.9800
144.93.121.10:40288,<->,144.93.120.177:10578,100,20400,0,0,100,20400,0.017052000,1.9800
144.93.121.86:30774,<->,144.93.120.177:9506,100,20400,0,0,100,20400,0.016832000,1.9800
144.93.121.48:22336,<->,144.93.120.28:18312,100,20400,0,0,100,20400,0.016822000,1.9800
144.93.121.50:22712,<->,144.93.120.28:13276,100,20400,0,0,100,20400,0.016721000,1.9800
144.93.121.86:51052,<->,144.93.120.177:20874,100,20400,0,0,100,20400,0.016699000,1.9800
144.93.121.10:46282,<->,144.93.120.177:10838,100,20400,0,0,100,20400,0.016378000,1.9800
144.93.121.86:35578,<->,144.93.120.177:8602,100,20400,0,0,100,20400,0.016106000,1.9800
144.93.125.32:43404,<->,144.93.121.50:25288,0,0,100,20400,100,20400,0.016079000,1.9800
144.93.120.177:33990,<->,144.93.121.48:22556,0,0,100,20400,100,20400,0.015661000,1.9800
144.93.120.177:54536,<->,144.93.121.10:18978,0,0,100,20400,100,20400,0.015653000,1.9800
144.93.121.86:54396,<->,144.93.125.49:20108,100,20400,0,0,100,20400,0.015572000,1.9800
144.93.121.86:54752,<->,144.93.125.49:50380,100,20400,0,0,100,20400,0.015519000,1.9800
144.93.120.177:33788,<->,144.93.121.86:27286,0,0,100,20400,100,20400,0.015254000,1.9800
144.93.120.177:33210,<->,144.93.121.86:11914,0,0,100,20400,100,20400,0.015170000,1.9800
144.93.120.177:62384,<->,144.93.121.50:36724,0,0,100,20400,100,20400,0.014954000,1.9800
144.93.120.177:58982,<->,144.93.121.86:53880,0,0,100,20400,100,20400,0.014911000,1.9800
144.93.121.10:41556,<->,144.93.125.49:34164,100,20400,0,0,100,20400,0.014556000,1.9800
159.46.201.28:22576,<->,144.93.121.86:11886,0,0,100,20400,100,20400,0.014532000,1.9799
144.93.121.50:48324,<->,144.93.120.177:18990,100,20400,0,0,100,20400,0.014425000,1.9800
144.93.121.48:48060,<->,144.93.120.177:46614,100,20400,0,0,100,20400,0.014422000,1.9800
144.93.125.48:55908,<->,144.93.121.86:39668,0,0,100,20400,100,20400,0.014297000,1.9800
144.93.125.48:64608,<->,144.93.121.86:42416,0,0,100,20400,100,20400,0.014267000,1.9800
144.93.120.177:31324,<->,144.93.121.86:14016,0,0,100,20400,100,20400,0.014226000,1.9800
145.2.46.169:21692,<->,144.93.121.10:21538,0,0,100,20400,100,20400,0.013898000,1.9800
144.93.121.86:24046,<->,144.93.120.177:7578,100,20400,0,0,100,20400,0.013847000,1.9800
144.93.120.177:64408,<->,144.93.121.10:48972,0,0,100,20400,100,20400,0.013678000,1.9800
144.93.121.83:45550,<->,101.71.113.171:30396,100,20400,0,0,100,20400,0.013602000,1.9800
144.93.125.49:38952,<->,144.93.121.10:21902,0,0,100,20400,100,20400,0.013600000,1.9800
144.93.125.48:54452,<->,144.93.121.86:51070,0,0,100,20400,100,20400,0.013255000,1.9800
144.93.121.10:19654,<->,144.93.120.177:acme,100,20400,0,0,100,20400,0.013049000,1.9800
144.93.121.10:igrid,<->,144.93.120.28:9906,100,20400,0,0,100,20400,0.012994000,1.9800
144.93.121.86:12258,<->,144.93.120.177:11606,100,20400,0,0,100,20400,0.012654000,1.9800
144.93.120.28:62500,<->,144.93.121.50:22228,0,0,100,20400,100,20400,0.012653000,1.9799
144.93.120.177:49450,<->,144.93.121.10:22892,0,0,100,20400,100,20400,0.012453000,1.9800
144.93.121.10:54866,<->,144.93.120.177:18966,100,20400,0,0,100,20400,0.012355000,1.9800
144.93.125.48:49140,<->,144.93.121.86:14010,0,0,100,20400,100,20400,0.012302000,1.9800
144.93.121.86:61894,<->,144.93.125.48:55284,100,20400,0,0,100,20400,0.012292000,1.9800
144.93.121.50:25124,<->,144.93.120.177:11456,100,20400,0,0,100,20400,0.012261000,1.9800
144.93.121.48:53268,<->,144.93.120.177:19818,100,20400,0,0,100,20400,0.012160000,1.9800
137.83.230.7:61990,<->,50.23.57.66:14570,100,20400,0,0,100,20400,0.011853000,1.9821
144.93.121.10:60768,<->,144.93.120.177:swa-4,100,20400,0,0,100,20400,0.011777000,1.9800
144.93.121.48:59260,<->,144.93.120.177:50996,100,20400,0,0,100,20400,0.011739000,1.9800
144.93.121.10:55606,<->,144.93.120.177:20568,100,20400,0,0,100,20400,0.011716000,1.9800
144.93.120.177:44830,<->,144.93.121.10:33814,0,0,100,20400,100,20400,0.011577000,1.9800
144.93.120.177:39342,<->,144.93.121.50:22640,0,0,100,20400,100,20400,0.011472000,1.9800
144.93.121.48:47684,<->,144.93.120.177:nta-ds,100,20400,0,0,100,20400,0.011332000,1.9800
144.93.120.177:53766,<->,144.93.121.48:24756,0,0,100,20400,100,20400,0.011179000,1.9800
144.93.121.10:60360,<->,144.93.120.177:15530,100,20400,0,0,100,20400,0.011029000,1.9800
113.178.109.84:50852,<->,144.93.121.83:22238,0,0,100,20400,100,20400,0.010880000,1.9800
144.93.121.86:50014,<->,144.93.120.177:entextlow,100,20400,0,0,100,20400,0.010785000,1.9800
144.93.120.177:59462,<->,144.93.121.86:58396,0,0,100,20400,100,20400,0.010636000,1.9800
220.14.74.249:55746,<->,35.56.98.184:8858,0,0,100,20400,100,20400,0.010615000,1.9800
144.93.120.177:35020,<->,144.93.121.48:31516,0,0,100,20400,100,20400,0.010587000,1.9799
144.93.125.49:36264,<->,144.93.121.10:17122,0,0,100,20400,100,20400,0.010580000,1.9800
144.93.125.49:63584,<->,144.93.121.10:41874,0,0,100,20400,100,20400,0.010574000,1.9800
144.93.120.28:50462,<->,144.93.121.10:13470,0,0,100,20400,100,20400,0.010542000,1.9799
144.93.120.177:39932,<->,144.93.121.48:37712,0,0,100,20400,100,20400,0.010447000,1.9800
144.93.120.177:46034,<->,144.93.121.50:20552,0,0,100,20400,100,20400,0.010308000,1.9800
144.93.121.10:51374,<->,144.93.125.38:27132,100,20400,0,0,100,20400,0.010250000,1.9800
144.93.120.28:26850,<->,144.93.121.50:24536,0,0,100,20400,100,20400,0.010245000,1.9800
220.14.74.198:49666,<->,35.56.98.184:9046,0,0,100,20400,100,20400,0.010182000,1.9800
144.93.121.50:62524,<->,144.93.120.177:60784,100,20400,0,0,100,20400,0.010162000,1.9800
144.93.121.10:45352,<->,144.93.120.177:44768,100,20400,0,0,100,20400,0.010049000,1.9800
144.93.121.86:59518,<->,144.93.120.177:21308,100,20400,0,0,100,20400,0.009985000,1.9800
144.93.120.177:35234,<->,144.93.121.48:20904,0,0,100,20400,100,20400,0.009949000,1.9800
210.213.21.66:49510,<->,92.26.144.99:documentum,0,0,100,20400,100,20400,0.009868000,1.9799
144.93.121.86:57980,<->,144.93.120.177:11768,100,20400,0,0,100,20400,0.009656000,1.9800
144.93.121.86:50708,<->,144.93.125.49:48304,100,20400,0,0,100,20400,0.009570000,1.9800
144.93.125.49:39200,<->,144.93.121.86:34684,0,0,100,20400,100,20400,0.009515000,1.9800
144.93.121.10:46522,<->,144.93.125.48:44880,100,20400,0,0,100,20400,0.009297000,1.9800
144.93.121.86:21766,<->,144.93.120.177:8852,100,20400,0,0,100,20400,0.009265000,1.9800
144.93.125.37:37096,<->,144.93.121.10:19008,0,0,100,20400,100,20400,0.009039000,1.9800
144.93.125.37:50432,<->,144.93.121.10:19250,0,0,100,20400,100,20400,0.009032000,1.9800
