src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
246.253.169.93,<->,8.35.106.89,619,31409,0,0,619,31409,0.234783000,1.7477
74.142.203.248,<->,8.252.221.204,0,0,613,42850,613,42850,0.134216000,1.7244
144.85.170.254,<->,80.30.20.95,604,40155,0,0,604,40155,0.903574000,1.0831
133.178.226.23,<->,100.120.38.6,590,792344,0,0,590,792344,0.065578000,1.8644
67.14.100.67,<->,8.252.222.225,0,0,588,48328,588,48328,0.122532000,1.8719
215.158.238.99,<->,148.72.94.212,588,33060,0,0,588,33060,0.004896000,1.9852
129.78.117.76,<->,50.200.168.165,578,30948,0,0,578,30948,0.004005000,1.9828
215.158.238.194,<->,215.158.43.2,575,857281,0,0,575,857281,0.653723000,0.3133
215.158.61.192,<->,99.74.26.134,0,0,566,816524,566,816524,0.905419000,1.0805
215.158.52.230,<->,144.95.104.75,564,28239,0,0,564,28239,0.009859000,1.9299
204.95.110.72,<->,8.20.87.187,0,0,564,28200,564,28200,0.006911000,1.4495
220.28.114.28,<->,215.158.140.199,0,0,560,811644,560,811644,1.642442000,0.3022
215.158.34.85,<->,8.176.8.81,0,0,543,767080,543,767080,1.273839000,0.6882
92.168.217.129,<->,75.95.153.184,541,30296,0,0,541,30296,0.023200000,1.9677
144.85.170.246,<->,144.54.7.171,540,30890,0,0,540,30890,0.129533000,1.7099
215.158.238.144,<->,100.216.78.145,515,679364,0,0,515,679364,0.029687000,1.9690
146.235.109.66,<->,8.252.221.195,0,0,504,749232,504,749232,0.129954000,1.8699
220.28.109.52,<->,136.25.188.168,0,0,504,697556,504,697556,0.016453000,1.9210
17.198.244.92,<->,8.220.206.230,0,0,490,24713,490,24713,0.207136000,1.6228
86.135.81.65,<->,8.252.222.68,0,0,490,28173,490,28173,0.097300000,1.8976
48.19.57.168,<->,8.252.222.224,0,0,489,38160,489,38160,0.023362000,1.8932
144.253.73.231,<->,133.178.227.234,0,0,485,27292,485,27292,0.933170000,0.9393
76.179.97.77,<->,8.252.222.96,0,0,478,36232,478,36232,0.080480000,1.7373
133.54.43.75,<->,117.6.238.227,463,29192,0,0,463,29192,1.257319000,0.7420
144.85.170.244,<->,17.42.178.222,458,26427,0,0,458,26427,0.847742000,1.1485
111.147.255.174,<->,53.232.227.250,453,678977,0,0,453,678977,0.865276000,0.9666
215.158.238.244,<->,100.216.78.145,452,607857,0,0,452,607857,0.014012000,1.9221
220.28.104.193,<->,215.158.238.146,0,0,450,588612,450,588612,0.021499000,1.9016
193.21.28.216,<->,100.94.41.247,0,0,446,657438,446,657438,0.004379000,1.6553
215.158.238.153,<->,100.120.38.6,444,605056,0,0,444,605056,0.060116000,1.8733
20.194.70.45,<->,20.194.65.207,444,24864,0,0,444,24864,0.014748000,1.8699
220.28.114.28,<->,215.158.238.88,0,0,443,591576,443,591576,0.217211000,1.7007
220.28.104.193,<->,215.158.238.147,0,0,438,588800,438,588800,0.119988000,1.8059
158.14.109.76,<->,145.16.41.83,0,0,436,628455,436,628455,0.044556000,1.9465
215.158.239.20,<->,96.135.154.114,433,471034,0,0,433,471034,0.557901000,1.3132
220.28.104.193,<->,215.158.238.77,0,0,432,586038,432,586038,0.051513000,1.9301
247.136.176.67,<->,138.0.22.132,432,616424,0,0,432,616424,0.030822000,1.9644
215.158.23.50,<->,192.204.123.10,431,640108,0,0,431,640108,0.004003000,1.9881
145.182.137.223,<->,136.25.188.41,0,0,428,602293,428,602293,0.142301000,0.3329
97.19.3.156,<->,8.252.223.233,0,0,425,21250,425,21250,0.002228000,0.7664
58.143.178.4,<->,8.252.221.230,0,0,421,31330,421,31330,0.062143000,1.9327
215.158.238.69,<->,98.219.126.140,418,548437,0,0,418,548437,0.013658000,1.9726
48.18.237.212,<->,8.252.221.197,0,0,415,31812,415,31812,0.012841000,1.9678
215.158.238.68,<->,98.219.126.175,410,548089,0,0,410,548089,0.154256000,1.7783
222.31.15.60,<->,215.158.238.210,0,0,407,24346,407,24346,0.124844000,1.8750
127.128.216.186,<->,92.168.217.252,0,0,404,22884,404,22884,0.080382000,1.9159
220.28.115.46,<->,215.158.238.252,0,0,399,548474,399,548474,0.233827000,1.6972
220.28.85.14,<->,215.158.238.153,0,0,399,517133,399,517133,0.080558000,1.8632
120.85.4.6,<->,109.1.58.185,0,0,398,598592,398,598592,0.004235000,1.8505
144.85.170.244,<->,98.87.145.30,396,23076,0,0,396,23076,0.731028000,1.2657
254.177.165.75,<->,215.158.238.94,0,0,395,30160,395,30160,1.061356000,0.4886
133.178.226.226,<->,8.254.21.53,390,584292,0,0,390,584292,0.293889000,1.6720
215.158.238.145,<->,98.219.126.140,388,529666,0,0,388,529666,0.251988000,1.6940
133.54.43.41,<->,93.208.41.137,386,24774,0,0,386,24774,0.681152000,1.3152
220.28.104.193,<->,215.158.238.109,0,0,386,524913,386,524913,0.031008000,1.9165
220.28.73.211,<->,215.158.140.84,0,0,382,524658,382,524658,0.026633000,1.9603
139.163.0.99,<->,82.162.150.21,381,21671,0,0,381,21671,0.656324000,0.7771
133.178.226.174,<->,100.120.38.6,379,519406,0,0,379,519406,0.345915000,1.6229
146.200.179.97,<->,0.195.210.33,0,0,378,18900,378,18900,0.008897000,1.9841
215.158.238.76,<->,100.120.38.6,378,519819,0,0,378,519819,0.000068000,1.9813
133.178.227.44,<->,100.224.133.155,375,561683,0,0,375,561683,0.469648000,0.0263
215.158.238.69,<->,100.120.38.6,375,474654,0,0,375,474654,0.052455000,1.8708
220.28.73.211,<->,215.158.238.79,0,0,374,497228,374,497228,0.022154000,1.9241
101.224.182.5,<->,92.162.253.239,0,0,372,554153,372,554153,1.157328000,0.3243
215.158.140.199,<->,29.211.120.86,371,553648,0,0,371,553648,1.334397000,0.6417
133.178.226.41,<->,100.120.38.6,370,484837,0,0,370,484837,0.025228000,1.9669
93.73.247.21,<->,92.168.217.245,0,0,369,18941,369,18941,0.748542000,0.6068
133.244.31.120,<->,80.27.154.173,366,512575,0,0,366,512575,0.918608000,0.3340
254.242.184.13,<->,110.27.228.146,366,20496,0,0,366,20496,0.030894000,1.9669
215.158.238.110,<->,100.216.78.145,366,487665,0,0,366,487665,0.000601000,1.9699
235.42.35.226,<->,215.158.23.59,0,0,357,529280,357,529280,0.031519000,1.9606
215.158.238.231,<->,215.158.34.90,356,533959,0,0,356,533959,1.201960000,0.0217
215.158.140.193,<->,98.34.212.76,352,17600,0,0,352,17600,0.000882000,1.8061
192.224.146.178,<->,133.178.226.55,0,0,348,513616,348,513616,0.894363000,0.1081
220.28.73.211,<->,136.25.188.213,0,0,346,487826,346,487826,0.114364000,1.3751
17.15.182.172,<->,8.220.239.104,0,0,340,18856,340,18856,0.141131000,1.8532
215.158.140.179,<->,100.162.203.46,340,17000,0,0,340,17000,0.003330000,1.9862
215.158.238.45,<->,102.90.204.214,337,18872,0,0,337,18872,0.000999000,1.9976
133.178.227.238,<->,111.52.90.173,336,18984,0,0,336,18984,0.019582000,1.9694
215.158.238.146,<->,100.120.38.6,334,423358,0,0,334,423358,0.084543000,1.8991
120.83.116.209,<->,89.183.104.156,0,0,333,463522,333,463522,0.006011000,1.9931
58.143.226.209,<->,8.252.221.237,0,0,331,16550,331,16550,0.124910000,0.7048
127.225.105.100,<->,100.92.156.116,0,0,327,484893,327,484893,0.625082000,1.3046
