frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,_ws.col.Info
"87","Apr 22, 2011 13:24:01.800845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=14964 Win=3592 Len=0"
"88","Apr 22, 2011 13:24:01.818845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=14964 Win=4128 Len=0"
"89","Apr 22, 2011 13:24:02.382845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"90","Apr 22, 2011 13:24:02.454845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=15500 Win=3592 Len=0"
"91","Apr 22, 2011 13:24:02.481845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"92","Apr 22, 2011 13:24:02.488845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=15500 Win=4128 Len=0"
"93","Apr 22, 2011 13:24:02.521845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=16036 Win=3592 Len=0"
"94","Apr 22, 2011 13:24:02.554845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=16036 Win=4128 Len=0"
"95","Apr 22, 2011 13:24:03.165845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"96","Apr 22, 2011 13:24:03.263845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=16572 Win=3592 Len=0"
"97","Apr 22, 2011 13:24:03.273845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=16572 Win=4128 Len=0"
"98","Apr 22, 2011 13:24:03.937845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"99","Apr 22, 2011 13:24:04.026845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=17108 Win=3592 Len=0"
"100","Apr 22, 2011 13:24:04.053845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=17108 Win=4128 Len=0"
"101","Apr 22, 2011 13:24:04.068845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"102","Apr 22, 2011 13:24:04.087845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=17644 Win=3592 Len=0"
"103","Apr 22, 2011 13:24:04.120845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=17644 Win=4128 Len=0"
"104","Apr 22, 2011 13:24:04.810845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"105","Apr 22, 2011 13:24:04.890845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=18180 Win=3592 Len=0"
"106","Apr 22, 2011 13:24:04.952845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=18180 Win=4128 Len=0"
"107","Apr 22, 2011 13:24:04.973845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"108","Apr 22, 2011 13:24:05.046845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=18716 Win=3592 Len=0"
"109","Apr 22, 2011 13:24:05.116845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=18716 Win=4128 Len=0"
"110","Apr 22, 2011 13:24:05.587845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"111","Apr 22, 2011 13:24:05.624845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=19252 Win=3592 Len=0"
"112","Apr 22, 2011 13:24:05.660845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=19252 Win=4128 Len=0"
"113","Apr 22, 2011 13:24:06.419845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"114","Apr 22, 2011 13:24:06.441845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"115","Apr 22, 2011 13:24:06.500845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=19788 Win=3592 Len=0"
"116","Apr 22, 2011 13:24:06.539845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=20324 Win=3056 Len=0"
"117","Apr 22, 2011 13:24:06.610845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=20324 Win=3592 Len=0"
"118","Apr 22, 2011 13:24:06.699845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=20324 Win=4128 Len=0"
"119","Apr 22, 2011 13:24:07.144845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"120","Apr 22, 2011 13:24:07.213845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","588","[TCP segment of a reassembled PDU]"
"121","Apr 22, 2011 13:24:07.228845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=20860 Win=3592 Len=0"
"122","Apr 22, 2011 13:24:07.253845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=20860 Win=4128 Len=0"
"123","Apr 22, 2011 13:24:07.298845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=21394 Win=3594 Len=0"
"124","Apr 22, 2011 13:24:08.008845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"125","Apr 22, 2011 13:24:08.099845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=21930 Win=3058 Len=0"
"126","Apr 22, 2011 13:24:08.134845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=21930 Win=4128 Len=0"
"127","Apr 22, 2011 13:24:08.718845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"128","Apr 22, 2011 13:24:08.767845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","586","[TCP segment of a reassembled PDU]"
"129","Apr 22, 2011 13:24:08.827845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=22466 Win=3592 Len=0"
"130","Apr 22, 2011 13:24:08.861845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=22998 Win=3060 Len=0"
"131","Apr 22, 2011 13:24:08.900845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=22998 Win=3596 Len=0"
"132","Apr 22, 2011 13:24:09.570845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"133","Apr 22, 2011 13:24:09.652845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=23534 Win=3060 Len=0"
"134","Apr 22, 2011 13:24:09.682845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=23534 Win=4128 Len=0"
"135","Apr 22, 2011 13:24:09.682845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"136","Apr 22, 2011 13:24:09.769845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=24070 Win=3592 Len=0"
"137","Apr 22, 2011 13:24:09.827845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=24070 Win=4128 Len=0"
"138","Apr 22, 2011 13:24:10.397845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"139","Apr 22, 2011 13:24:10.479845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=24606 Win=3592 Len=0"
