src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
194.209.183.117,<->,39.38.165.209,0,0,1,96,1,96,1.935885000,0.0000
224.54.170.200,<->,192.224.198.242,0,0,1,704,1,704,1.931943000,0.0000
125.84.62.71,<->,8.220.203.35,0,0,1,704,1,704,1.915410000,0.0000
215.158.238.205,<->,192.230.221.194,1,1002,0,0,1,1002,1.914119000,0.0000
120.155.8.80,<->,8.52.129.50,0,0,1,1002,1,1002,1.912612000,0.0000
113.65.136.161,<->,39.51.246.85,0,0,1,72,1,72,1.912033000,0.0000
112.70.164.219,<->,8.52.251.213,0,0,1,1002,1,1002,1.911463000,0.0000
143.226.151.111,<->,8.220.201.13,0,0,1,704,1,704,1.911269000,0.0000
111.150.118.22,<->,56.121.35.12,0,0,1,68,1,68,1.910064000,0.0000
140.17.122.242,<->,98.128.202.45,0,0,1,50,1,50,1.909145000,0.0000
64.253.254.21,<->,39.144.12.43,0,0,1,60,1,60,1.908626000,0.0000
192.242.69.246,<->,20.144.125.58,0,0,1,104,1,104,1.896636000,0.0000
120.39.91.40,<->,92.27.219.215,0,0,1,80,1,80,1.896547000,0.0000
136.25.188.106,<->,57.108.116.104,1,60,0,0,1,60,1.896120000,0.0000
133.81.199.33,<->,58.132.153.38,1,1424,0,0,1,1424,1.891641000,0.0000
92.27.219.140,<->,66.245.103.93,1,353,0,0,1,353,1.888359000,0.0000
98.86.123.142,<->,20.197.150.148,0,0,1,98,1,98,1.887761000,0.0000
197.10.43.51,<->,101.70.109.4,0,0,1,65,1,65,1.886321000,0.0000
42.103.242.17,<->,39.200.8.4,0,0,1,84,1,84,1.877890000,0.0000
199.50.127.162,<->,136.25.188.255,0,0,1,129,1,129,1.877060000,0.0000
215.158.238.205,<->,89.76.50.211,1,84,0,0,1,84,1.877024000,0.0000
39.38.161.196,<->,33.56.203.251,1,94,0,0,1,94,1.875009000,0.0000
131.128.233.183,<->,8.52.162.215,0,0,1,1002,1,1002,1.873879000,0.0000
98.190.105.98,<->,29.214.110.52,1,1002,0,0,1,1002,1.872820000,0.0000
113.65.136.161,<->,39.51.246.5,0,0,1,72,1,72,1.870244000,0.0000
199.79.65.112,<->,20.84.237.80,0,0,1,106,1,106,1.870127000,0.0000
196.109.192.105,<->,39.228.20.193,0,0,1,106,1,106,1.869690000,0.0000
97.94.119.43,<->,35.56.98.12,0,0,1,50,1,50,1.862535000,0.0000
139.181.79.30,<->,8.188.179.3,1,68,0,0,1,68,1.862464000,0.0000
143.61.64.223,<->,8.220.197.41,0,0,1,704,1,704,1.858791000,0.0000
113.65.136.161,<->,39.51.246.6,0,0,1,72,1,72,1.857516000,0.0000
66.91.81.193,<->,34.47.39.226,0,0,1,60,1,60,1.855931000,0.0000
207.61.106.97,<->,136.25.188.253,0,0,1,129,1,129,1.854031000,0.0000
204.172.88.54,<->,39.11.130.186,0,0,1,103,1,103,1.852310000,0.0000
112.70.164.219,<->,8.220.205.50,0,0,1,704,1,704,1.852300000,0.0000
193.29.109.175,<->,20.190.177.115,0,0,1,92,1,92,1.848854000,0.0000
121.8.199.111,<->,8.220.204.215,0,0,1,704,1,704,1.846978000,0.0000
