src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
136.25.188.36:39316,<->,215.158.61.189:http,6,1623,0,0,6,1623,1.314929000,0.3758
116.99.180.215:55410,<->,136.25.188.254:https,0,0,6,2794,6,2794,1.312838000,0.5562
142.255.141.124:59265,<->,215.158.239.77:https,0,0,6,1841,6,1841,1.311873000,0.4616
132.20.222.234:50464,<->,132.200.62.217:domain,0,0,6,385,6,385,1.311821000,0.1653
8.47.189.76:51930,<->,215.158.239.252:http,0,0,6,442,6,442,1.310146000,0.0515
91.57.169.11:56882,<->,133.178.227.252:http,0,0,6,1046,6,1046,1.309579000,0.0539
99.74.27.13:37734,<->,216.184.2.78:https,6,6933,0,0,6,6933,1.305549000,0.6243
199.20.31.160:30805,<->,215.158.239.93:https,0,0,6,558,6,558,1.305530000,0.5697
199.50.121.111:54576,<->,215.158.239.79:https,0,0,6,1838,6,1838,1.302204000,0.5728
202.33.52.234:26002,<->,136.25.188.174:https,0,0,6,412,6,412,1.301215000,0.0000
125.223.127.183:34550,<->,100.228.42.100:https,0,0,6,3026,6,3026,1.300684000,0.3195
196.168.46.78:50524,<->,215.158.239.56:https,0,0,6,908,6,908,1.298790000,0.5903
199.122.164.218:47779,<->,215.158.239.56:https,0,0,6,646,6,646,1.295302000,0.7024
207.3.186.105:49537,<->,8.52.178.37:https,0,0,6,1149,6,1149,1.294773000,0.5508
204.187.74.11:21362,<->,136.25.188.160:https,0,0,6,412,6,412,1.293685000,0.0001
97.243.113.38:50093,<->,133.178.227.19:http,0,0,6,1392,6,1392,1.293681000,0.1576
8.190.217.127:48007,<->,215.158.238.73:https,0,0,6,1493,6,1493,1.291142000,0.0355
196.168.46.78:50518,<->,215.158.239.96:https,0,0,6,908,6,908,1.289717000,0.5525
113.92.151.99:63534,<->,215.158.238.25:http,0,0,6,1797,6,1797,1.288201000,0.1131
199.68.247.252:60996,<->,136.25.188.252:https,0,0,6,349,6,349,1.288078000,0.2783
142.253.110.56:51925,<->,136.25.188.196:https,0,0,6,349,6,349,1.287429000,0.2391
192.227.190.235:42448,<->,136.25.188.211:https,0,0,6,1781,6,1781,1.287091000,0.1405
195.5.158.232:13290,<->,136.25.188.163:https,0,0,6,1754,6,1754,1.287050000,0.6030
246.253.253.170:62472,<->,8.35.106.56:https,6,568,0,0,6,568,1.284446000,0.1951
202.33.125.147:24984,<->,136.25.188.174:https,0,0,6,412,6,412,1.283021000,0.0070
199.14.155.81:35098,<->,215.158.239.56:https,0,0,6,1876,6,1876,1.282396000,0.5430
197.107.44.87:attachmate-g32,<->,136.25.188.174:https,0,0,6,412,6,412,1.281467000,0.3010
57.210.107.36:34943,<->,133.178.226.76:https,0,0,6,552,6,552,1.278872000,0.5032
74.182.187.210:58277,<->,80.27.153.164:https,0,0,6,1355,6,1355,1.277696000,0.4707
8.176.8.180:53496,<->,215.158.61.145:https,6,6661,0,0,6,6661,1.276377000,0.0703
136.25.188.34:49982,<->,215.158.61.242:https,6,7013,0,0,6,7013,1.276155000,0.0034
136.25.189.62:36048,<->,100.216.78.145:http,6,7620,0,0,6,7620,1.275860000,0.2868
91.69.185.154:43386,<->,144.85.170.254:http,0,0,6,1050,6,1050,1.275245000,0.1435
48.131.158.246:52751,<->,136.25.188.237:https,0,0,6,1621,6,1621,1.274273000,0.2590
