src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
207.88.232.90,<->,8.182.229.19,0,0,1,50,1,50,1.479836000,0.0000
105.64.71.172,<->,20.86.113.253,0,0,1,104,1,104,1.479782000,0.0000
195.41.24.134,<->,136.25.188.178,0,0,1,68,1,68,1.479703000,0.0000
132.168.198.202,<->,52.60.231.223,1,65,0,0,1,65,1.479564000,0.0000
97.168.67.236,<->,93.2.217.58,1,80,0,0,1,80,1.479472000,0.0000
92.27.219.156,<->,87.49.215.40,1,84,0,0,1,84,1.479437000,0.0000
98.230.195.67,<->,8.182.227.210,0,0,1,50,1,50,1.479263000,0.0000
215.158.239.58,<->,194.234.250.232,1,85,0,0,1,85,1.478234000,0.0000
111.147.128.184,<->,53.68.91.57,1,56,0,0,1,56,1.477969000,0.0000
129.224.112.252,<->,56.125.221.95,1,63,0,0,1,63,1.477360000,0.0000
120.51.13.182,<->,89.183.104.145,0,0,1,328,1,328,1.477176000,0.0000
215.158.61.195,<->,8.176.8.213,0,0,1,56,1,56,1.477062000,0.0000
139.163.13.98,<->,122.209.227.154,1,50,0,0,1,50,1.476789000,0.0000
144.76.46.36,<->,102.50.179.112,0,0,1,130,1,130,1.476194000,0.0000
138.31.199.102,<->,53.212.149.246,1,74,0,0,1,74,1.476050000,0.0000
247.136.188.245,<->,148.196.121.220,1,130,0,0,1,130,1.475960000,0.0000
80.38.51.167,<->,8.47.188.160,1,148,0,0,1,148,1.475914000,0.0000
192.64.246.117,<->,98.150.107.181,1,50,0,0,1,50,1.475797000,0.0000
194.232.160.138,<->,136.25.188.177,0,0,1,188,1,188,1.475676000,0.0000
206.243.225.26,<->,109.222.210.27,0,0,1,50,1,50,1.475258000,0.0000
221.95.60.220,<->,77.8.75.237,1,135,0,0,1,135,1.475163000,0.0000
207.192.232.125,<->,39.157.186.151,0,0,1,97,1,97,1.475114000,0.0000
159.112.9.198,<->,111.146.211.230,0,0,1,81,1,81,1.474712000,0.0000
196.193.145.119,<->,39.208.214.31,0,0,1,60,1,60,1.474631000,0.0000
109.1.71.12,<->,8.49.69.216,1,353,0,0,1,353,1.474625000,0.0000
144.76.42.205,<->,144.64.138.24,0,0,1,76,1,76,1.474469000,0.0000
103.151.144.208,<->,8.220.205.146,0,0,1,50,1,50,1.474279000,0.0000
241.193.172.231,<->,20.160.135.248,0,0,1,50,1,50,1.473907000,0.0000
198.232.32.156,<->,92.27.219.229,0,0,1,52,1,52,1.473704000,0.0000
215.158.239.99,<->,195.97.49.31,1,68,0,0,1,68,1.473587000,0.0000
124.56.156.93,<->,109.222.202.37,0,0,1,79,1,79,1.473091000,0.0000
33.237.187.37,<->,20.206.1.110,0,0,1,52,1,52,1.473090000,0.0000
92.27.27.182,<->,29.138.102.202,1,56,0,0,1,56,1.473001000,0.0000
89.183.104.173,<->,18.201.237.149,1,60,0,0,1,60,1.472987000,0.0000
111.65.121.95,<->,92.27.219.38,0,0,1,80,1,80,1.472824000,0.0000
144.75.218.233,<->,98.101.89.7,1,82,0,0,1,82,1.472774000,0.0000
144.75.218.237,<->,138.127.224.17,1,294,0,0,1,294,1.472713000,0.0000
215.158.239.84,<->,195.43.255.92,1,56,0,0,1,56,1.472703000,0.0000
206.89.65.32,<->,8.43.154.226,0,0,1,704,1,704,1.472497000,0.0000
29.214.193.75,<->,8.43.219.55,0,0,1,704,1,704,1.472493000,0.0000
203.11.144.44,<->,92.27.27.157,0,0,1,52,1,52,1.472458000,0.0000
132.123.44.21,<->,8.222.6.160,1,64,0,0,1,64,1.472452000,0.0000
199.25.50.198,<->,39.172.210.56,0,0,1,64,1,64,1.472323000,0.0000
80.93.31.157,<->,20.203.230.201,0,0,1,56,1,56,1.472254000,0.0000
89.183.104.189,<->,38.87.154.202,1,52,0,0,1,52,1.472188000,0.0000
129.224.112.252,<->,99.187.125.196,1,78,0,0,1,78,1.471985000,0.0000
207.190.194.222,<->,8.220.176.253,0,0,1,50,1,50,1.471832000,0.0000
76.72.228.64,<->,39.164.106.143,0,0,1,64,1,64,1.471345000,0.0000
196.148.133.194,<->,93.151.38.73,1,52,0,0,1,52,1.471207000,0.0000
132.185.111.50,<->,20.211.220.249,0,0,1,88,1,88,1.471164000,0.0000
215.158.239.56,<->,199.20.29.67,1,602,0,0,1,602,1.471096000,0.0000
222.34.236.101,<->,139.193.141.139,0,0,1,50,1,50,1.470940000,0.0000
247.136.139.153,<->,119.76.158.162,1,62,0,0,1,62,1.470719000,0.0000
215.158.239.99,<->,196.94.139.126,1,653,0,0,1,653,1.470659000,0.0000
204.109.185.118,<->,39.246.168.218,0,0,1,106,1,106,1.470630000,0.0000
105.115.185.87,<->,102.50.219.230,0,0,1,393,1,393,1.469844000,0.0000
143.128.251.145,<->,136.25.188.255,0,0,1,68,1,68,1.469082000,0.0000
144.75.218.233,<->,138.127.224.174,1,67,0,0,1,67,1.469051000,0.0000
